# scenario=haptic-endstops
t,theta,omega,theta_finger,tau_cmd,tau_ext,iq_ref,iq
0.240986,1.22719,4.40771,1.25248,-0.00440771,0.00758754,-0.0556529,-0.0584925
0.241986,1.23179,4.40968,1.25702,-0.00440968,0.00756927,-0.0556778,-0.0585179
0.242986,1.23639,4.41114,1.26155,-0.00441114,0.00754863,-0.0556961,-0.0585357
0.243986,1.24099,4.41221,1.26608,-0.00441221,0.0075256,-0.0557097,-0.0585477
0.244986,1.2456,4.43673,1.2706,-0.00443673,0.00750024,-0.0560193,-0.0581629
0.245986,1.2502,4.45481,1.27511,-0.00445481,0.00747242,-0.0562476,-0.0583848
0.246986,1.2548,4.46814,1.27961,-0.00446814,0.00744213,-0.0564159,-0.058567
0.247986,1.2594,4.50478,1.2841,-0.00450478,0.00740948,-0.0568785,-0.0557562
0.248985,1.264,4.53179,1.28859,-0.00453179,0.00737439,-0.0572196,-0.0560362
0.249985,1.26861,4.55171,1.29306,-0.00455171,0.00733684,-0.0574711,-0.0563069
0.250985,1.27321,4.58872,1.29753,-0.00458872,0.00729725,-0.0579384,-0.0564653
0.251986,1.27781,4.61601,1.30199,-0.00461601,0.00725523,-0.058283,-0.0568283
0.252986,1.28241,4.63614,1.30645,-0.00463614,0.00721071,-0.0585371,-0.0571054
0.253986,1.28701,4.6762,1.31089,-0.0046762,0.00716372,-0.0590429,-0.0561318
0.254986,1.29008,4.25231,1.31533,-0.00425231,0.00757445,-0.0536908,-0.0564937
0.255986,1.29468,4.2951,1.31976,-0.0042951,0.00752245,-0.054231,-0.0569046
0.256986,1.29929,4.32665,1.32418,-0.00432665,0.00746799,-0.0546294,-0.0573328
0.257987,1.30389,4.37364,1.32859,-0.00437364,0.00741105,-0.0552227,-0.0572604
0.258987,1.30849,4.43509,1.33299,-0.0044351,0.00735158,-0.0559987,-0.0547666
0.259987,1.31309,4.48041,1.33739,-0.00448041,0.00728953,-0.0565708,-0.0552996
0.260987,1.31769,4.51382,1.34178,-0.00451382,0.00722498,-0.0569927,-0.0557571
0.261987,1.32229,4.56079,1.34615,-0.00456079,0.00715789,-0.0575857,-0.0560523
0.262987,1.3269,4.62064,1.35052,-0.00462064,0.00708822,-0.0583414,-0.0553382
0.263988,1.32996,4.21134,1.35489,-0.00421134,0.00747621,-0.0531735,-0.055902
0.264988,1.33457,4.26489,1.35924,-0.00426489,0.0074014,-0.0538496,-0.0564617
0.265988,1.33917,4.3281,1.36358,-0.0043281,0.00732404,-0.0546478,-0.0566063
0.266988,1.34377,4.40152,1.36792,-0.00440152,0.00724407,-0.0555747,-0.0542778
0.267988,1.34837,4.45565,1.37224,-0.00445565,0.00716157,-0.0562582,-0.0549325
0.268988,1.35297,4.51789,1.37656,-0.00451789,0.00707642,-0.0570441,-0.0554356
0.269989,1.35758,4.58901,1.38087,-0.00458901,0.00698862,-0.057942,-0.0548779
