# scenario=haptic-curves
theta,free,spring,damped,detents12,detents_smooth,endstops
-2.77088,0,0.1,0,0.0611563,-0.0104922,0.1
-2.76774,0,0.1,0,0.0598997,-0.00910657,0.1
-2.7646,0,0.1,0,0.058643,-0.00766919,0.1
-2.76146,0,0.1,0,0.0573864,-0.00618839,0.1
-2.75832,0,0.1,0,0.0561298,-0.00467242,0.1
-2.75518,0,0.1,0,0.0548731,-0.00312975,0.1
-2.75204,0,0.1,0,0.0536165,-0.0015693,0.1
-2.74889,0,0.1,0,0.0523598,7.59948e-08,0.1
-2.74575,0,0.1,0,0.0511032,0.00156945,0.1
-2.74261,0,0.1,0,0.0498466,0.00312974,0.1
-2.73947,0,0.1,0,0.0485899,0.00467226,0.1
-2.73633,0,0.1,0,0.0473334,0.00618823,0.1
-2.73319,0,0.1,0,0.0460767,0.00766919,0.1
-2.73004,0,0.1,0,0.0448201,0.00910657,0.1
-2.7269,0,0.1,0,0.0435634,0.0104921,0.1
-2.72376,0,0.1,0,0.0423069,0.0118179,0.1
-2.72062,0,0.1,0,0.0410502,0.0130768,0.1
-2.71748,0,0.1,0,0.0397935,0.0142613,0.1
-2.71434,0,0.1,0,0.0385369,0.0153648,0.1
-2.71119,0,0.1,0,0.0372802,0.016381,0.1
-2.70805,0,0.1,0,0.0360236,0.0173041,0.1
-2.70491,0,0.1,0,0.034767,0.0181288,0.1
-2.70177,0,0.1,0,0.0335104,0.0188505,0.1
-2.69863,0,0.1,0,0.0322537,0.0194652,0.1
-2.69549,0,0.1,0,0.030997,0.0199692,0.1
-2.69234,0,0.1,0,0.0297404,0.0203597,0.1
-2.6892,0,0.1,0,0.0284837,0.0206346,0.1
-2.68606,0,0.1,0,0.0272272,0.0207922,0.1
-2.68292,0,0.1,0,0.0259705,0.0208317,0.1
-2.67978,0,0.1,0,0.0247138,0.0207528,0.1
-2.67664,0,0.1,0,0.0234572,0.020556,0.1
-2.6735,0,0.1,0,0.0222005,0.0202423,0.1
-2.67035,0,0.1,0,0.0209439,0.0198136,0.1
-2.66721,0,0.1,0,0.0196873,0.0192724,0.1
-2.66407,0,0.1,0,0.0184307,0.0186217,0.1
-2.66093,0,0.1,0,0.017174,0.0178652,0.1
-2.65779,0,0.1,0,0.0159173,0.0170071,0.1
-2.65465,0,0.1,0,0.0146607,0.0160523,0.1
-2.6515,0,0.1,0,0.0134041,0.0150064,0.1
-2.64836,0,0.1,0,0.0121476,0.0138753,0.1
-2.64522,0,0.1,0,0.0108909,0.0126653,0.1
-2.64208,0,0.1,0,0.00963426,0.0113833,0.1
